path,ext,ok,empty,textBytes,images,error,panic,millis
testdata\web-samples\samples\docx\00003763.docx,.docx,true,false,452979,10,,,3911
testdata\web-samples\samples\docx\223624.docx,.docx,true,false,760288,33,,,2603
testdata\web-samples\samples\xls\002505.xls,.xls,true,false,3123432,0,,,2292
testdata\web-samples\samples\xls\008055.xls,.xls,true,false,17684747,0,,,5872
testdata\web-samples\samples\xls\013623.xls,.xls,true,false,1329843,0,,,2223
testdata\web-samples\samples\xls\016161.xls,.xls,true,false,8179182,0,,,2527
testdata\web-samples\samples\xls\018548.xls,.xls,true,false,1541448,0,,,1749
testdata\web-samples\samples\xls\019088.xls,.xls,true,false,281048,0,,,1716
testdata\web-samples\samples\xls\019089.xls,.xls,true,false,306058,0,,,1668
testdata\web-samples\samples\xlsx\00010400.xlsx,.xlsx,true,false,2778014,0,,,1167
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2433
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,651
testdata\web-samples\samples\xlsx\00013260.xlsx,.xlsx,true,false,3130923,0,,,884
testdata\web-samples\samples\xlsx\00013939.xlsx,.xlsx,true,false,3788530,0,,,559
testdata\web-samples\samples\xlsx\00014857.xlsx,.xlsx,true,false,4016789,0,,,990
testdata\web-samples\samples\xlsx\00014878.xlsx,.xlsx,true,false,9879551,0,,,943
testdata\web-samples\samples\xlsx\00014957.xlsx,.xlsx,true,false,4925019,0,,,1105
testdata\web-samples\samples\xlsx\00014970.xlsx,.xlsx,true,false,4111885,0,,,941
testdata\web-samples\samples\xlsx\00014984.xlsx,.xlsx,true,false,8624718,0,,,1004
testdata\web-samples\samples\xlsx\00014999.xlsx,.xlsx,true,false,4115251,0,,,958
testdata\web-samples\samples\xlsx\00017009.xlsx,.xlsx,true,false,5313775,0,,,1793
testdata\web-samples\samples\xlsx\00017663.xlsx,.xlsx,true,false,3288008,0,,,680
testdata\web-samples\samples\xlsx\00018489.xlsx,.xlsx,true,false,4302221,0,,,845
testdata\web-samples\samples\xlsx\00019224.xlsx,.xlsx,true,false,8968495,0,,,1141
testdata\web-samples\samples\xlsx\142143-2.xlsx,.xlsx,true,false,3506734,0,,,808
testdata\web-samples\samples\xlsx\142143.xlsx,.xlsx,true,false,3506734,0,,,810
testdata\web-samples\samples\xlsx\212946-2.xlsx,.xlsx,true,false,2902112,0,,,323
testdata\web-samples\samples\xlsx\219417-2.xlsx,.xlsx,true,false,3506734,0,,,786
testdata\web-samples\samples\xlsx\219417.xlsx,.xlsx,true,false,3506734,0,,,849
testdata\web-samples\samples\xlsx\apache__tika__tika-parsers_tika-parsers-standard_tika-parsers-standard-modules_tika-parser-microsoft-module_src_test_resources_test-documents_testRecordSizeExceeded.xlsx,.xlsx,true,false,181333430,0,,,4253
